county,district,date,open_stores7eleven,open_storesfamilymart,open_storeshilife,open_storesOK,open_storespxmart,open_storescarrefour,open_storesrtmart,open_storessimplemart,open_storescpc
臺南市,柳營區,2018-05-01,7.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0
臺南市,柳營區,2018-06-01,7.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0
臺南市,柳營區,2018-07-01,7.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0
臺南市,柳營區,2018-08-01,7.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0
臺南市,柳營區,2018-09-01,7.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0
臺南市,柳營區,2018-10-01,7.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0
臺南市,柳營區,2018-11-01,7.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0
臺南市,柳營區,2018-12-01,7.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0
臺南市,楠西區,2018-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,楠西區,2018-02-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,楠西區,2018-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,楠西區,2018-04-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,楠西區,2018-05-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,楠西區,2018-06-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,楠西區,2018-07-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,楠西區,2018-08-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,楠西區,2018-09-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,楠西區,2018-10-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,楠西區,2018-11-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,楠西區,2018-12-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
臺南市,歸仁區,2018-01-01,16.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0
臺南市,歸仁區,2018-02-01,16.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0
臺南市,歸仁區,2018-03-01,16.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0
臺南市,歸仁區,2018-04-01,16.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0
臺南市,歸仁區,2018-05-01,16.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0
臺南市,歸仁區,2018-06-01,16.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0
臺南市,歸仁區,2018-07-01,16.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0
臺南市,歸仁區,2018-08-01,17.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0
臺南市,歸仁區,2018-09-01,17.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0
臺南市,歸仁區,2018-10-01,17.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0
臺南市,歸仁區,2018-11-01,17.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0
臺南市,歸仁區,2018-12-01,17.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0
臺南市,永康區,2018-01-01,72.0,32.0,11.0,1.0,10.0,4.0,0.0,3.0,21.0
臺南市,永康區,2018-02-01,72.0,32.0,11.0,1.0,10.0,4.0,0.0,3.0,21.0
臺南市,永康區,2018-03-01,73.0,32.0,11.0,1.0,10.0,4.0,0.0,3.0,21.0
臺南市,永康區,2018-04-01,73.0,32.0,11.0,1.0,10.0,4.0,0.0,3.0,21.0
臺南市,永康區,2018-05-01,74.0,32.0,12.0,1.0,10.0,4.0,0.0,3.0,21.0
臺南市,永康區,2018-06-01,74.0,32.0,12.0,2.0,10.0,4.0,0.0,3.0,21.0
臺南市,永康區,2018-07-01,74.0,32.0,14.0,2.0,10.0,4.0,0.0,3.0,21.0
臺南市,永康區,2018-08-01,74.0,32.0,14.0,2.0,10.0,4.0,0.0,3.0,21.0
臺南市,永康區,2018-09-01,74.0,33.0,14.0,2.0,10.0,4.0,0.0,3.0,21.0
臺南市,永康區,2018-10-01,75.0,33.0,14.0,2.0,10.0,4.0,0.0,3.0,21.0
臺南市,永康區,2018-11-01,75.0,34.0,14.0,2.0,10.0,4.0,0.0,3.0,21.0
